Date,Open,High,Low,Close,Adj Close,Volume
11/10/2016,157.660004,161.160004,157.589996,160.220001,145.863586,7715800
11/11/2016,159.970001,161.339996,159.330002,161.270004,146.819534,4446600
11/14/2016,161.25,161.860001,157.580002,158.210007,144.033707,5180400
11/15/2016,158.419998,159.149994,157.550003,158.669998,144.452484,3477000
11/16/2016,158.460007,159.550003,158.029999,159.289993,145.016922,2244100
11/17/2016,159.220001,159.929993,158.850006,159.800003,145.481232,2261200
11/18/2016,159.800003,160.720001,159.210007,160.389999,146.018387,2981600
11/21/2016,160.690002,163,160.369995,162.770004,148.185089,4637100
11/22/2016,163,163,161.949997,162.669998,148.09407,2770800
11/23/2016,161.940002,162.380005,161.360001,161.979996,147.465897,2252700
11/25/2016,161.830002,163.190002,161.830002,163.139999,148.521957,1605300
11/28/2016,163.199997,164.660004,162.699997,164.520004,149.778275,4449400
11/29/2016,164,164.410004,163.029999,163.529999,148.876984,3148200
11/30/2016,163.350006,163.800003,162.210007,162.220001,147.684387,4397800
12/1/2016,161.949997,162.199997,158.300003,159.820007,145.499451,4635700
12/2/2016,159,160.289993,158.410004,160.020004,145.681519,2740900
12/5/2016,160.850006,161.149994,159.589996,159.839996,145.51767,3447100
12/6/2016,160.130005,160.789993,158.929993,160.350006,145.981964,2859000
12/7/2016,160.600006,165.179993,160.389999,164.789993,150.024109,4435100
12/8/2016,164.869995,166,164.220001,165.360001,150.543015,3266400
12/9/2016,165.179993,166.720001,164.600006,166.520004,151.599091,3146900
12/12/2016,166.720001,166.789993,165.070007,165.5,150.670502,3392300
12/13/2016,165.679993,169.949997,165.679993,168.289993,153.210495,5932300
12/14/2016,168.369995,169.889999,167.449997,168.509995,153.410767,4124200
12/15/2016,168.009995,169.850006,167.779999,168.020004,152.964691,3388600
12/16/2016,168.970001,169.110001,166.059998,166.729996,151.790283,6679200
12/19/2016,166.830002,167.259995,166,166.679993,151.744736,2955900
12/20/2016,167.490005,168.25,166.449997,167.600006,152.582321,2174600
12/21/2016,166.25,167.940002,165.25,167.330002,152.336502,3575700
12/22/2016,167.360001,168.229996,166.580002,167.059998,152.090683,2802600
12/23/2016,167,167.490005,166.449997,166.710007,151.772079,1699200
12/27/2016,166.979996,167.979996,166.850006,167.139999,152.163513,1397500
12/28/2016,167.289993,167.740005,166,166.190002,151.29866,1757500
12/29/2016,166.020004,166.990005,166,166.600006,151.671906,1594000
12/30/2016,166.440002,166.699997,165.5,165.990005,151.116608,2952800
1/3/2017,167,167.869995,166.009995,167.190002,152.209076,2934300
1/4/2017,167.770004,169.869995,167.360001,169.259995,154.093567,3381400
1/5/2017,169.25,169.389999,167.259995,168.699997,153.583755,2682300
1/6/2017,168.690002,169.919998,167.520004,169.529999,154.339386,2945500
1/9/2017,169.470001,169.800003,167.619995,167.649994,152.627838,3184700
1/10/2017,167.979996,168.089996,165.339996,165.520004,150.688721,4118700
1/11/2017,166.050003,167.759995,165.600006,167.75,152.718872,3599500
1/12/2017,167.770004,168.009995,165.559998,167.949997,152.900955,2927500
1/13/2017,167.970001,168.479996,166.880005,167.339996,152.345612,2875400
1/17/2017,166.690002,168.179993,166.119995,167.889999,152.846344,3302900
1/18/2017,167.449997,168.589996,166.690002,166.800003,151.854004,4007800
1/19/2017,166.960007,167.449997,165.800003,166.809998,151.863098,6963400
1/20/2017,167.809998,170.639999,166,170.550003,155.26799,12690000
1/23/2017,170.080002,171.25,170.009995,171.029999,155.704971,5478200
1/24/2017,171.360001,176,171.160004,175.899994,160.138596,6952400
1/25/2017,176.259995,179.25,176.130005,178.289993,162.314423,5922500
1/26/2017,178.059998,178.880005,177.509995,178.660004,162.651291,3063900
1/27/2017,178.470001,179.199997,177.300003,177.300003,161.413147,3482300
1/30/2017,176.979996,177.070007,174.580002,175.800003,160.047577,4094800
1/31/2017,175.050003,175.580002,173.610001,174.520004,158.882263,4139000
2/1/2017,175,175.699997,172.889999,174.289993,158.672852,2795700
2/2/2017,174.229996,174.970001,173.550003,174.580002,158.93689,2620500
2/3/2017,175,176.339996,174.889999,175.820007,160.065781,3309300
2/6/2017,175.309998,175.979996,174.380005,175.860001,160.102188,2650800
2/7/2017,176,178.619995,175.899994,178.460007,162.469223,3873500
2/8/2017,177.5,177.5,175.880005,176.169998,161.652573,2913100
2/9/2017,176.169998,177.800003,175.910004,177.210007,162.606888,3090700
2/10/2017,177.369995,178.869995,176.759995,178.679993,163.955719,2930700
2/13/2017,179.240005,179.899994,178.839996,179.360001,164.579681,3093400
2/14/2017,178.570007,180.130005,178.350006,180.130005,165.286224,2567900
2/15/2017,180.199997,181.919998,179.809998,181.679993,166.708511,2914300
2/16/2017,181.449997,182.789993,180.869995,181.429993,166.47908,3251500
2/17/2017,181.25,181.570007,180,180.669998,165.781723,3552500
2/21/2017,180.600006,180.789993,179.119995,180.259995,165.405533,4480300
2/22/2017,180.089996,181.339996,180.089996,181.149994,166.222168,3020500
2/23/2017,182,182.5,180.919998,181.649994,166.680969,2282500
2/24/2017,180.210007,181.490005,179.889999,181.350006,166.405701,3300100
2/27/2017,181.190002,181.25,179.279999,179.399994,164.616379,3691300
2/28/2017,179.380005,180.630005,179.350006,179.820007,165.001785,3273400
3/1/2017,180.479996,182.550003,180.029999,181.949997,166.956284,3005600
3/2/2017,181.880005,181.880005,180.429993,180.529999,165.653275,2918200
