Date,IBM,APPL,AMZN,Close
2014/4/16,196.399994,74.144287,323.679993,186.130005
2014/4/17,190.009995,74.991432,324.910004,186.389999
2014/4/21,192.270004,75.881432,330.869995,187.039993
2014/4/22,192.149994,75.957146,329.320007,187.889999
2014/4/23,191.729996,74.964287,324.579987,187.449997
2014/4/24,190.220001,81.110001,337.149994,187.830002
2014/4/25,189.630005,81.705711,303.829987,186.289993
2014/4/28,193.139999,84.870003,296.579987,186.880005
2014/4/29,195.110001,84.618568,300.380005,187.75
2014/4/30,196.470001,84.298569,304.130005,188.309998
2014/5/1,193.529999,84.497147,307.890015,188.330002
2014/5/2,191.440002,84.654289,308.01001,188.059998
2014/5/5,191.259995,85.851425,310.049988,188.419998
2014/5/6,190.029999,84.915718,297.380005,186.779999
2014/5/7,189.300003,84.618568,292.709991,187.880005
2014/5/8,188.910004,83.998573,288.320007,187.679993
2014/5/9,190.080002,83.648575,292.23999,187.960007
2014/5/12,192.570007,84.690002,302.859985,189.789993
2014/5/13,192.190002,84.822861,304.640015,189.960007
2014/5/14,188.720001,84.83857,297.619995,189.059998
2014/5/15,186.460007,84.117142,295.190002,187.399994
2014/5/16,187.059998,85.358574,297.700012,188.050003
2014/5/19,187,86.370003,296.76001,188.740005
2014/5/20,184.889999,86.387146,301.190002,187.550003
2014/5/21,186.389999,86.615715,305.01001,189.130005
2014/5/22,185.679993,86.752853,304.910004,189.589996
2014/5/23,185.940002,87.732857,312.23999,190.350006
2014/5/27,184.779999,89.375717,310.820007,191.520004
2014/5/28,183.080002,89.144287,310.160004,191.380005
2014/5/29,183.759995,90.76857,313.779999,192.369995
2014/5/30,184.360001,90.428574,312.549988,192.679993
2014/6/2,185.690002,89.807144,308.839996,192.899994
2014/6/3,184.369995,91.077141,307.190002,192.800003
2014/6/4,184.509995,92.117142,306.779999,193.190002
2014/6/5,185.979996,92.478569,323.570007,194.449997
2014/6/6,186.369995,92.224289,329.670013,195.380005
2014/6/9,186.220001,93.699997,327.5,195.580002
2014/6/10,184.289993,94.25,332.410004,195.600006
2014/6/11,182.25,93.860001,335.200012,194.919998
2014/6/12,181.220001,92.290001,325.910004,193.539993
2014/6/13,182.559998,91.279999,326.269989,194.130005
2014/6/16,182.350006,92.199997,327.619995,194.289993
2014/6/17,182.259995,92.080002,325.619995,194.830002
2014/6/18,183.600006,92.18,334.380005,196.259995
2014/6/19,182.820007,91.860001,327,196.479996
2014/6/20,181.550003,90.910004,324.200012,195.940002
2014/6/23,182.139999,90.830002,327.23999,195.880005
2014/6/24,180.880005,90.279999,324.160004,194.699997
2014/6/25,180.720001,90.360001,327.440002,195.580002
2014/6/26,180.369995,90.900002,325.690002,195.440002
2014/6/27,181.710007,91.980003,324.570007,195.820007
2014/6/30,181.270004,92.93,324.779999,195.720001
2014/7/1,186.350006,93.519997,332.390015,197.029999
2014/7/2,188.389999,93.480003,332.850006,197.229996
2014/7/3,188.529999,94.029999,337.48999,198.199997
2014/7/7,188.039993,95.970001,333.549988,197.509995
2014/7/8,187.220001,95.349998,323.809998,196.240005
2014/7/9,188.419998,95.389999,329.970001,197.119995
2014/7/10,187.699997,95.040001,327.920013,196.339996
2014/7/11,188,95.220001,346.200012,196.610001
2014/7/14,189.860001,96.449997,355.320007,197.600006
2014/7/15,188.490005,95.32,354.440002,197.229996
2014/7/16,192.360001,94.779999,355.899994,197.960007
2014/7/17,192.490005,93.089996,352.450012,195.710007
2014/7/18,192.5,94.43,358.660004,197.710007
2014/7/21,190.850006,93.940002,359.76001,197.339996
2014/7/22,194.089996,94.720001,360.839996,198.199997
2014/7/23,193.630005,97.190002,358.140015,198.639999
2014/7/24,195.240005,97.029999,358.609985,198.649994
2014/7/25,194.399994,97.669998,324.01001,197.720001
2014/7/28,195.779999,99.019997,320.410004,197.800003
2014/7/29,194.570007,98.379997,320,196.949997
2014/7/30,194,98.150002,322.51001,196.979996
2014/7/31,191.669998,95.599998,312.98999,193.089996
2014/8/1,189.149994,96.129997,307.059998,192.5
2014/8/4,189.639999,95.589996,313.649994,193.889999
2014/8/5,187.100006,95.120003,312.320007,192.009995
2014/8/6,185.970001,94.959999,313.890015,192.070007
2014/8/7,184.300003,94.480003,311.450012,191.029999
2014/8/8,186.630005,94.739998,316.799988,193.240005
2014/8/11,187.470001,95.989998,318.329987,193.800003
2014/8/12,187.339996,95.970001,319.320007,193.529999
2014/8/13,187.949997,97.239998,326.279999,194.839996
2014/8/14,187.880005,97.5,333.209991,195.759995
2014/8/15,187.380005,97.980003,333.630005,195.720001
2014/8/18,189.360001,99.160004,334.529999,197.360001
2014/8/19,190.070007,100.529999,335.130005,198.389999
2014/8/20,190.100006,100.57,335.779999,198.919998
2014/8/21,191.229996,100.580002,332.910004,199.5
2014/8/22,190.410004,101.32,331.589996,199.190002
2014/8/25,191.160004,101.540001,334.019989,200.199997
